order_id,customer_id,order_date,product_category,product_name,quantity,unit_price,discount_percent,subtotal,shipping_cost,tax_amount,total_amount,payment_method,order_status,shipping_method
4094239,696853,2025-04-27,Fashion,Shirt,5,48343,0,241715,136,43508.7,285359.7,UPI,Processing,Express
8462732,236725,2025-04-12,Home,Mixer,2,43583,5,87166,315,14905.39,98028.09,UPI,Processing,Express
7003100,460527,2024-05-28,Fashion,Shirt,1,22259,0,22259,152,4006.62,26417.62,UPI,Shipped,Standard
7170550,464885,2024-09-29,Fashion,Shoes,2,15576,0,31152,102,5607.36,36861.36,Card,Shipped,Express
1653508,700391,2024-03-27,Electronics,Laptop,3,19762,0,59286,193,10671.48,70150.48,Card,Shipped,Express
4062227,616213,2024-09-30,Electronics,Laptop,2,24258,5,48516,37,8296.24,54423.44,UPI,Shipped,Express
7521762,388594,2025-04-04,Home,Chair,1,49913,5,49913,496,8535.12,56448.47,Card,Shipped,Standard
9922299,207829,2025-09-18,Electronics,Phone,1,26838,15,26838,220,4106.21,27138.51,COD,Returned,Standard
6927851,944605,2025-10-05,Home,Mixer,1,13421,10,13421,49,2174.2,14302.1,Card,Processing,Express
6832200,354531,2025-11-28,Electronics,Phone,3,6507,5,19521,230,3338.09,22113.04,Card,Returned,Standard
7858386,552623,2025-01-03,Home,Mixer,2,23311,10,46622,320,7552.76,49832.56,UPI,Delivered,Express
6070817,854552,2025-09-10,Home,Mixer,5,12262,10,61310,41,9932.22,65152.22,Card,Shipped,Express
9541324,308540,2024-05-13,Fashion,Shoes,5,38136,15,190680,204,29174.04,191456.04,UPI,Shipped,Standard
5366493,611669,2024-03-24,Electronics,Laptop,2,19708,10,39416,450,6385.39,42309.79,COD,Delivered,Standard
8688641,978264,2024-08-28,Fashion,Shoes,5,12754,5,63770,277,10904.67,71763.17,Card,Returned,Standard
2377932,614650,2024-09-24,Electronics,Laptop,1,14403,0,14403,498,2592.54,17493.54,COD,Processing,Standard
1893750,936565,2024-03-29,Electronics,Phone,3,1285,10,3855,208,624.51,4302.01,UPI,Delivered,Standard
2737211,986066,2025-04-11,Home,Chair,5,49914,0,249570,198,44922.6,294690.6,UPI,Returned,Standard
5521032,897926,2025-10-08,Electronics,Laptop,4,40590,15,162360,404,24841.08,163251.08,COD,Delivered,Express
6194968,319247,2024-02-28,Electronics,Phone,1,28379,5,28379,2,4852.81,31814.86,COD,Processing,Express
4564749,759924,2024-12-23,Electronics,Phone,5,9024,0,45120,416,8121.6,53657.6,COD,Shipped,Express
8164304,216771,2025-02-07,Electronics,Laptop,5,9608,10,48040,82,7782.48,51100.48,COD,Shipped,Express
4355940,800216,2024-06-28,Fashion,Shoes,4,28933,5,115732,94,19790.17,129829.57,UPI,Returned,Express
5123802,272757,2025-07-07,Home,Chair,5,9378,10,46890,430,7596.18,50227.18,COD,Delivered,Express
5679743,540366,2024-04-21,Fashion,Shoes,2,35821,10,71642,374,11606.0,76457.8,COD,Processing,Standard
2540847,462889,2025-07-08,Fashion,Shoes,1,4460,0,4460,295,802.8,5557.8,UPI,Returned,Express
7998311,239478,2025-08-24,Fashion,Shirt,2,3813,0,7626,188,1372.68,9186.68,COD,Delivered,Standard
7580654,989508,2025-08-02,Electronics,Phone,1,16950,5,16950,292,2898.45,19292.95,UPI,Delivered,Express
9489417,180375,2025-07-18,Home,Mixer,4,33490,5,133960,137,22907.16,150306.16,UPI,Returned,Standard
5827900,219446,2024-09-01,Electronics,Phone,3,11217,15,33651,346,5148.6,34097.95,Card,Processing,Standard
5905000,890778,2024-01-15,Electronics,Laptop,3,40816,15,122448,51,18734.54,122866.34,UPI,Processing,Standard
9148750,643873,2025-03-18,Home,Chair,1,12701,15,12701,286,1943.25,13025.1,Card,Shipped,Standard
2548902,161640,2024-09-22,Home,Mixer,2,40748,0,81496,445,14669.28,96610.28,Card,Returned,Standard
7928163,336695,2025-04-11,Home,Mixer,4,11230,0,44920,412,8085.6,53417.6,UPI,Shipped,Standard
4766013,733321,2024-04-22,Electronics,Phone,1,36632,5,36632,323,6264.07,41387.47,UPI,Returned,Standard
4353823,178779,2024-01-25,Home,Mixer,3,6146,5,18438,188,3152.9,20857.0,UPI,Processing,Express
9079903,174162,2025-01-20,Fashion,Shoes,2,28476,15,56952,164,8713.66,57286.86,Card,Returned,Standard
3035943,219869,2025-02-09,Home,Chair,5,29436,10,147180,157,23843.16,156462.16,Card,Delivered,Express
9634718,276783,2025-08-29,Electronics,Laptop,2,44219,5,88438,264,15122.9,99403.0,COD,Processing,Standard
7024549,815208,2025-06-26,Electronics,Laptop,2,38406,10,76812,416,12443.54,81990.34,COD,Returned,Standard
2399261,367579,2025-09-08,Fashion,Shirt,3,22296,10,66888,263,10835.86,71298.06,COD,Delivered,Standard
1524347,426370,2024-10-16,Home,Mixer,1,6704,5,6704,299,1146.38,7814.18,UPI,Delivered,Express
2371052,344406,2024-07-16,Fashion,Shoes,4,3608,5,14432,438,2467.87,16616.27,COD,Delivered,Express
6422752,761596,2024-02-05,Home,Chair,3,21354,15,64062,475,9801.49,64729.19,COD,Shipped,Standard
5099890,639343,2024-07-14,Electronics,Phone,1,6073,0,6073,26,1093.14,7192.14,Card,Returned,Standard
8425566,937223,2024-11-23,Electronics,Laptop,2,15228,0,30456,215,5482.08,36153.08,COD,Returned,Standard
2522521,690705,2025-02-15,Fashion,Shirt,1,29856,10,29856,374,4836.67,32081.07,Card,Delivered,Standard
4233488,113857,2025-04-22,Fashion,Shoes,5,23207,15,116035,199,17753.35,116582.1,Card,Delivered,Express
1554398,329408,2025-02-23,Home,Chair,3,12144,5,36432,162,6229.87,41002.27,UPI,Shipped,Standard
8403538,758976,2025-09-10,Fashion,Shoes,4,5946,5,23784,453,4067.06,27114.86,COD,Shipped,Express
3227452,630462,2025-01-28,Home,Chair,3,31923,0,95769,471,17238.42,113478.42,UPI,Returned,Express
2435769,690705,2024-01-06,Fashion,Shirt,3,28197,5,84591,55,14465.06,94881.51,Card,Delivered,Express
8901029,575329,2025-06-30,Home,Chair,1,33164,0,33164,384,5969.52,39517.52,Card,Returned,Standard
2082027,496329,2025-05-20,Home,Chair,2,48695,5,97390,24,16653.69,109198.19,Card,Delivered,Standard
1838344,595185,2024-07-13,Fashion,Shirt,1,30111,15,30111,178,4606.98,30379.33,COD,Delivered,Express
3419783,517915,2024-03-23,Electronics,Laptop,2,25274,5,50548,361,8643.71,57025.31,COD,Processing,Standard
9291058,248413,2024-12-01,Home,Chair,5,17679,15,88395,112,13524.43,88772.18,Card,Shipped,Standard
3104765,461153,2024-04-24,Home,Mixer,5,10720,10,53600,195,8683.2,57118.2,UPI,Returned,Express
9291359,627467,2024-08-04,Home,Mixer,5,19000,5,95000,417,16245.0,106912.0,Card,Delivered,Standard
8316124,245223,2025-12-22,Electronics,Laptop,4,3801,15,15204,312,2326.21,15561.61,COD,Delivered,Standard
9040656,432651,2025-01-23,Home,Chair,4,44193,10,176772,444,28637.06,188175.86,Card,Processing,Standard
5939410,920268,2024-04-15,Fashion,Shirt,5,42525,0,212625,339,38272.5,251236.5,COD,Delivered,Standard
1190225,418104,2024-07-15,Electronics,Laptop,4,4265,0,17060,58,3070.8,20188.8,COD,Shipped,Express
5195914,619501,2024-01-03,Electronics,Phone,2,14230,5,28460,477,4866.66,32380.66,Card,Delivered,Standard
2995912,130451,2025-02-23,Fashion,Shirt,2,7675,5,15350,413,2624.85,17620.35,UPI,Shipped,Express
2531773,679715,2025-04-27,Electronics,Laptop,3,20189,0,60567,110,10902.06,71579.06,UPI,Delivered,Standard
9959123,276139,2024-02-02,Electronics,Laptop,2,7718,0,15436,9,2778.48,18223.48,COD,Returned,Express
7127784,488521,2025-11-22,Electronics,Phone,5,258,10,1290,51,208.98,1420.98,Card,Processing,Standard
1561900,528053,2024-06-04,Home,Chair,1,35408,10,35408,172,5736.1,37775.3,COD,Returned,Standard
4913553,404948,2025-12-10,Home,Chair,4,6641,0,26564,26,4781.52,31371.52,UPI,Delivered,Standard
3541869,988627,2025-10-22,Electronics,Laptop,3,41299,5,123897,145,21186.39,139033.54,UPI,Delivered,Express
1366011,421686,2025-03-09,Home,Mixer,4,40431,10,161724,220,26199.29,171970.89,UPI,Delivered,Express
7389863,796000,2025-12-11,Fashion,Shirt,5,46679,5,233395,257,39910.54,261892.79,UPI,Returned,Standard
1703321,698321,2025-05-01,Electronics,Phone,4,24983,10,99932,263,16188.98,106390.78,COD,Processing,Standard
3222932,205954,2024-09-09,Electronics,Phone,1,48018,5,48018,358,8211.08,54186.18,COD,Returned,Standard
6594900,190667,2024-11-04,Electronics,Laptop,1,12760,5,12760,450,2181.96,14753.96,UPI,Processing,Standard
7428607,381085,2024-08-18,Electronics,Phone,5,46954,15,234770,244,35919.81,235718.31,UPI,Returned,Standard
2217752,591608,2025-01-11,Fashion,Shoes,5,14483,10,72415,106,11731.23,77010.73,Card,Delivered,Express
8556977,196515,2024-05-25,Fashion,Shirt,4,37519,10,150076,355,24312.31,159735.71,COD,Processing,Express
6168081,981991,2025-08-05,Electronics,Phone,4,19699,15,78796,208,12055.79,79240.39,Card,Returned,Express
